# headword(s) / original English example / Chinese translation
disappear	The small boat began to disappear into the fog.	小船开始消失在雾中。
disability	The new entrance gives people with a disability easier access.	新入口让残障人士进出更加方便。
disarm	The two countries agreed to disarm after the war.	战后，两国同意裁军。
disapproval	She shook her head to show her disapproval.	她摇头表示不赞成。
unacceptable	Leaving customers without an explanation is unacceptable.	不给顾客任何解释是不能接受的。
unbearable	The heat in the crowded room became unbearable.	拥挤房间里的炎热变得难以忍受。
affordable	Students need affordable rooms near the university.	学生需要大学附近租得起的房间。
foreseeable	The library will stay open for the foreseeable future.	在可预见的将来，图书馆将继续开放。
innovation|visionary	A visionary leader makes room for innovation.	有远见的领导者为创新留出空间。
infect	One sick bird can infect the rest of the flock.	一只病鸟可能传染整群鸟。
abolition	The abolition of the fee made education more accessible.	取消这项费用让更多人能够接受教育。
abound	Small shops abound in the streets around the station.	车站周围的街道上有许多小商店。
addict	The game addict spent the whole night online.	那个沉迷游戏的人整晚都在上网。
adverse	Heavy rain had an adverse effect on the harvest.	大雨对收成产生了不利影响。
alleviate	A short rest helped alleviate her back pain.	短暂休息帮助减轻了她的背痛。
allocate	We need to allocate more time to revision.	我们需要给复习分配更多时间。
alternative	Cycling is a cheap alternative to driving.	骑自行车是开车之外一种便宜的选择。
appraisal	The manager gave a fair appraisal of her work.	经理对她的工作作出了公正评价。
bureaucracy	Too much bureaucracy delayed the opening of the shop.	过多的官僚作风耽误了商店开业。
celebrity	The celebrity signed books for fans after the interview.	采访结束后，那位名人为粉丝签书。
circuit	The lamp went out when the circuit was broken.	电路断开时，灯熄灭了。
combat	The city planted trees to combat air pollution.	这座城市种树以应对空气污染。
combine	We can combine these two small classes into one.	我们可以把这两个小班合并为一个。
commercial|commodity	Grain is an important commodity in commercial trade.	粮食是商业贸易中的一种重要商品。
compatible	This charger is compatible with my new phone.	这个充电器与我的新手机兼容。
compel	Rising costs may compel the shop to raise prices.	成本上涨可能迫使商店提价。
compensate	The airline agreed to compensate passengers for the delay.	航空公司同意就延误向乘客作出补偿。
compress	You can compress the file before sending it.	你可以先压缩文件再发送。
comprise	These five chapters comprise the main part of the book.	这五章构成了本书的主要部分。
confidential	Please keep the customer's medical records confidential.	请对顾客的病历保密。
foster	Good teachers foster curiosity instead of merely giving answers.	好老师会培养好奇心，而不只是给出答案。
congress	The congress discussed a proposal to improve public transport.	代表大会讨论了一项改善公共交通的提案。
contemporary	The museum has a large collection of contemporary art.	这家博物馆收藏了大量当代艺术品。
contempt	His rude laugh showed contempt for their efforts.	他粗鲁的笑声流露出对他们努力的蔑视。
contradict	The new evidence seems to contradict his account.	新证据似乎与他的叙述矛盾。
converge	Several roads converge at the entrance to the town.	几条道路在小镇入口处汇合。
convert	They plan to convert the old factory into apartments.	他们计划把旧工厂改成公寓。
coordinate	One person should coordinate the work of all three teams.	应该由一个人来协调三个团队的工作。
correspond	The numbers on the map correspond to the street names.	地图上的数字与街道名称一一对应。
curriculum	The school added computer science to its curriculum.	学校在课程中增加了计算机科学。
default	A borrower may default if the monthly payments become too high.	如果月供过高，借款人可能违约。
deficit	The government plans to reduce the budget deficit.	政府计划减少预算赤字。
deliberate	Her silence was a deliberate attempt to avoid an argument.	她保持沉默是为了故意避免争吵。
deploy	The company will deploy extra staff during the holiday.	公司将在假期增派员工。
detain	Police may detain a suspect while checking the evidence.	警方在核查证据期间可能拘留嫌疑人。
diagnose	The doctor used a blood test to diagnose the illness.	医生通过验血来诊断疾病。
dictate	You can dictate a message while the assistant types.	你可以口述消息，由助手打字。
dilemma	Choosing between family time and overtime created a dilemma.	在陪伴家人和加班之间选择，让人陷入两难。
diverse	The city attracts students from diverse cultural backgrounds.	这座城市吸引了来自不同文化背景的学生。
drawback	The main drawback of this flat is the traffic noise.	这套公寓的主要缺点是交通噪声。
eject	Press this button to eject the disc.	按这个按钮可弹出光盘。
eliminate	Checking the list twice can eliminate simple mistakes.	把清单检查两遍可以消除简单错误。
emigrate	They decided to emigrate in search of better jobs.	他们决定移居国外寻找更好的工作。
endorse	Several teachers publicly endorse the new reading program.	几位教师公开支持这项新的阅读计划。
